epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1573.84,1.47832,2.45404,1.22013,0.0062,0.51877,0.09025,0.05153,1.66837,3.36224,1.3855,0.000656085,0.000656085,0.000656085
2,2560.22,1.70941,2.16526,1.3902,0.43808,0.27894,0.25995,0.1173,1.92638,2.35088,1.49262,0.0011918,0.0011918,0.0011918
3,3479.62,1.69871,1.91656,1.37508,0.3836,0.2943,0.25607,0.13211,1.85459,3.14773,1.56043,0.00159551,0.00159551,0.00159551
4,4498.08,1.71256,1.83124,1.40412,0.51661,0.34307,0.34639,0.18121,1.82322,2.08465,1.48861,0.001406,0.001406,0.001406
5,5766.84,1.65396,1.70622,1.35466,0.53837,0.40618,0.40873,0.22771,1.68422,1.62591,1.34402,0.001208,0.001208,0.001208
6,6848.46,1.58948,1.58493,1.32726,0.57608,0.41293,0.43782,0.24698,1.58752,1.58777,1.29977,0.00101,0.00101,0.00101
7,7998.16,1.51874,1.46806,1.27261,0.63768,0.44891,0.48778,0.28715,1.52333,1.42289,1.26351,0.000812,0.000812,0.000812
8,9107.48,1.46203,1.38962,1.24096,0.62815,0.46246,0.51454,0.29736,1.4921,1.38847,1.22914,0.000614,0.000614,0.000614
9,9915.73,1.41534,1.31219,1.21597,0.66237,0.48801,0.53924,0.32559,1.41638,1.32342,1.20808,0.000416,0.000416,0.000416
10,10788,1.36121,1.23046,1.18754,0.67291,0.5,0.5606,0.33986,1.38799,1.26312,1.18457,0.000218,0.000218,0.000218
